street,state,city,post_code,safety_flag,post_code_extension,country
20331 gentle way,MD,montgomery village,20886,False,Not Available,US
8252 Woodland Shore Drive,MI,Brighton,48114,False,Not Available,US
203 Carlisle Rd,KY,Hartford,42347,False,1841,US
2443 Folsom Street,GA,Snellville,30078,False,Not Available,US
1702 Lancaster Creek Cir SW,GA,Conyers,30094,False,5817,US
126 Sylvan Drive,PA,Broomall,19008,False,Not Available,US
1006 grey fox cir,TX,brownsville,78520,False,Not Available,US
811 Downing Way,CO,Denver,80229,False,5918,US
1062 Calm Breeze,TX,New Braunfels,78130,False,4451,US
433 Jefferson Dr,VA,Palmyra,22963,False,2808,US
5306 Fairtide Drive,TX,Baytown,77521,False,Not Available,US
4320 Gannet Cir apt 113,NV,Las Vegas,89103,True,Not Available,US
7131 N Riverside Dr,IL,Niles,60714,False,Not Available,US
34 Prospect Rd,PA,Sugarloaf,18249,False,3623,US
1007 W Deer Creek Dr,IN,Brazil,47834,False,7919,US
19811 Arbor Creek Dr,TX,Katy,77449,False,6168,US
14903 Bridal Trail Circle,CA,Eastvale,92880,False,Not Available,US
1713 Canard Ave,CA,Placentia,92870,True,2410,US
18361 W Woodland Ter,IL,Gurnee,60031,False,1532,US
74741 E Rd,NE,Overton,68863,False,5805,US
7809 Commercial St,IL,Harvard,60033,False,Not Available,US
2026 Bedford Dr,MD,Jb Andrews,20762,False,5496,US
52 riverdale ave,NY,Port Chester,10573,True,Not Available,US
23734 Morning Glory Dr,CA,Murrieta,92562,True,6052,US
956 Drayson Dr,OH,Galloway,43119,False,Not Available,US
2825 Ellis Ave,TX,Fort Worth,76106,False,7105,US
930 Autumn Lane,IL,Aurora,60505,False,Not Available,US
23 Stanley Rd.,NY,Garnerville,10923,False,Not Available,US
15884 Grevillea St,CA,Fontana,92335,False,5416,US
96 S Washington St,MI,Oxford,48371,False,4974,US
4451 N Kilbourn Ave,IL,Chicago,60630,False,Not Available,US
4108 Olivia Dr,LA,Addis,70710,False,3043,US
203 Grantham Dr,TX,San Antonio,78218,False,4223,US
1155 Ravenna Ave,CA,Wilmington,90744,False,3165,US
6800 Wyndham Dr Apt T1,CA,Sacramento,95823,False,4920,US
515 W Duarte Rd,CA,Arcadia,91007,False,7326,US
2944 Beach Channel Drive,NY,Far Rockaway,11691,False,Not Available,US
6101 Gateway West Blvd Apt 207,TX,El Paso,79925,False,Not Available,US
2506 Stonebury Ln,TX,Sugar Land,77479,False,5488,US
1054 Hodges Way,GA,Stone Mountain,30087,False,2960,US
585 Eder ave,NJ,Wyckoff,7481,False,Not Available,US
117 McConnell Dr,IN,New Albany,47150,False,2000,US
4501 Weathersfield Ct.,TX,League City,77573,False,Not Available,US
10424 Siltstone Way,CA,Elk Grove,95757,False,1669,US
85-18 125th Street,NY,Kew Gardens,11415,False,Not Available,US
1435 N pearl St,CO,Denver,80203,False,Not Available,US
62 Stephen Place,NY,Valley Stream,11580,False,Not Available,US
405 S Conejo Ave,CA,Modesto,95354,False,3837,US
3960 SWEEPSTAKES DR,CA,RIVERBANK,95367,False,Not Available,US
1158 Teal point dr.,NV,Henderson,89074,False,Not Available,US
950 39th Ave N,FL,Saint Petersburg,33703,False,4520,US
60 Windy Acres Rd,NH,Charlestown,03603,False,4226,US
3725 Sandy Ridge Farm Rd,NC,La Grange,28551,False,6708,US
401 bridger view,MT,Belgrade,59715,False,Not Available,US
1821 County Road 474,TX,Kirbyville,75956,False,4245,US
11901 NW 42nd ST,FL,Sunrise,33323,False,Not Available,US
1800 Pecan Lake Dr,TX,Richmond,77406,False,9673,US
374 India Drive,DE,Smyrna,19977,False,Not Available,US
543 Picketts Bend Cir,GA,Marietta,30008,False,3269,US
1809 Colonial Ave,NC,Greensboro,27408,False,Not Available,US
642 Vardon Ave,FL,Deltona,32738,False,9092,US
10848 Orchard Ave SE,WA,Olalla,98359,False,Not Available,US
127 Plumdale Dr,AR,Sherwood,72120,False,3265,US
2206 Chaney Dr. #240,FL,Ruskin,33570,False,Not Available,US
192 Thousand Trails Dr,NC,Advance,27006,True,7082,US
253 Oelkers St,NY,N Tonawanda,14120,False,Not Available,US
1026 Polk St,MS,Vicksburg,39180,False,5020,US
125 Shady Glen Ln,GA,Albany,31721,False,9538,US
1450 Market Street,CA,San Diego,92101,False,Not Available,US
11731 Ventura Blvd,IL,Machesney Park,61115,False,1072,US
23315 S Breeze St,TX,San Antonio,78258,False,7313,US
19 Doctors Lane,SC,St. Helena Island,29920,False,Not Available,US
"1562 E OLIVE WAY, APT 108",WA,Seattle,98102,False,Not Available,US
8059 88th Rd,NY,Woodhaven,11421,False,2423,US
624 Salem Way,CA,Stockton,95207,False,7714,US
168 Belle Isle Drive,LA,Thibodaux,70301,False,Not Available,US
1147 Pine Portage Loop,TX,Leander,78641,False,2022,US
1803 Plata Ct,FL,Rockledge,32955,False,Not Available,US
1425 N Rosemore Ave,CA,Modesto,95358,False,1344,US
3171 Clairemont Dr,CA,SAN DIEGO,92117,False,Not Available,US
12277 Kirkwood St,CA,Herald,95638,False,9765,US
1111 S Oakwood Rd,OK,Enid,73703,False,6273,US
3204 Sylvan Drive,PA,Thorndale,19372,False,Not Available,US
478 Whitmore Town Rd,VA,Crewe,23930,False,3728,US
221 West Burnett Road,IL,Island Lake,60042,False,Not Available,US
"167 East Broadway, Apt 12",NY,New York City,10002,False,Not Available,US
1099 Nowita Pl,CA,Venice,90291,False,3518,US
3 Twilight Ln,CO,Pueblo,81005,True,1031,US
9696 Philta Way,CA,Elk Grove,95757,False,6202,US
219 Live Oak Drive,TX,Hudson Oaks,76087,False,Not Available,US
5900 Chimney Wood Cir,TX,Fort Worth,76112,False,3031,US
850 Crawford pkwy apt 4214,VA,Portsmouth,23704,False,Not Available,US
12201 Boessow Rd,CA,Galt,95632,False,8330,US
1707 Towle St,NE,Falls City,68355,False,1952,US
401 N Cromwell Rd,GA,Savannah,31410,False,3847,US
3728 Mays Xing SW,GA,Atlanta,30331,False,2058,US
600 SW 71st Way,FL,Pembroke Pines,33023,False,1065,US
4234 Arizona Ave,NE,Grand Island,68803,False,Not Available,US
2350 Reagan Ave.,WY,Rock Springs,82901,False,Not Available,US
740 Persimmon Hl,TX,Bulverde,78163,False,Not Available,US
100 Sterling Blvd,NJ,Englewood,07631,False,4813,US
1129 Sandpit Road,GA,Mauk,31058,False,Not Available,US
1227D Northpoint Dr,CA,San Francisco,94130,True,1103,US
3801 NE 81st Ave.,OR,Portland,97213,False,Not Available,US
4124 SW Tunnelwood St,OR,Portland,97221,False,3745,US
5006 Cedar Springs Rd,TX,Dallas,75235,False,8790,US
20624 Eyota Rd,CA,Apple Valley,92308,False,6338,US
2999 Smith Springs Rd,TN,Nashville,37217,False,4409,US
228 E Buena Vista St,MI,Highland Park,48203,True,3348,US
2621 Cranley St,KS,Lawrence,66046,False,5307,US
2254 CEDAR AVE APT E,NY,BRONX,10468,False,Not Available,US
212 W Corcoran st,MT,Lewistown,59457,False,Not Available,US
9006 Aylesford ln,CA,Stockton,95210,False,Not Available,US
2709 E Shorewood Blvd,WI,Milwaukee,53211,False,2459,US
1065 Coriander Dr,CA,Brentwood,94513,False,Not Available,US
4764 W Tufts Cir,CO,Denver,80236,False,3388,US
6203 summerhill road,MD,temple hills,20748,False,Not Available,US
609 6th st N,FL,St PETERSBURG,33701,False,Not Available,US
2038 Marvin Rd SE,WA,Olympia,98503,False,Not Available,US
415 Tyler Pl,CA,Salinas,93906,False,3676,US
1413 South Hennepin Street,IA,Sioux City,51106,False,Not Available,US
368 Via Aloe Vera,AZ,Rio Rico,85648,False,2961,US
13650 East Colfax Avenue,CO,Aurora,80011,False,Not Available,US
107 Tunxis Ave,CT,Bloomfield,06002,False,2005,US
5510 Robinwood rd,KY,Louisville,40218,False,Not Available,US
954 Waverly Dr,FL,Longwood,32750,False,Not Available,US
81 Center St,CA,Chula Vista,91910,False,3154,US
8528 Brisenbourg Way,CA,Antelope,95843,False,Not Available,US
12854 Fantasia Dr,VA,Herndon,20170,False,2945,US
5412 Baseline Place,MO,Columbia,65203,False,Not Available,US
810 S Pleasant St,IL,Peoria,61604,False,5975,US
3100 Owyhee Street,ID,Pocatello,83201,False,Not Available,US
1104 W College St,MO,Independence,64050,False,2408,US
3916 Twin Falls St,TX,Irving,75062,False,2907,US
4477 NW 185th St,FL,Miami Gardens,33055,False,3080,US
12 Cypress Ave,MA,Methuen,01844,False,4840,US
2111 Alcazar Way,CA,Stockton,95209,False,2405,US
3400 Paul Ave,NY,Bronx,10468,False,1015,US
1132 S 60th St,WA,Tacoma,98408,False,3435,US
1043 Normandy Ter,CA,Corona,92880,False,1319,US
577 FDR Drive,NY,New York,10002,False,Not Available,US
1345 South Capitol Street Southwest,DC,Washington,20003,False,Not Available,US
8760 Center PKWY,CA,Elk Grove,95758,False,Not Available,US
5810 30th Ave,MD,Hyattsville,20782,False,3103,US
2418 N 1050 W,UT,Clinton,84015,False,Not Available,US
9418 Spotsylvania Street,VA,Manassas,20110,False,Not Available,US
433 E 54th St,IN,Anderson,46013,False,1739,US
5972 E Juarez St,AZ,Tucson,85711,False,6035,US
143 Farmedge Rd,NY,Levittown,11756,False,Not Available,US
356 Montgomery Rd,TN,Lancing,37770,False,3204,US
1333 W Guadalupe Rd.,AZ,Gilbert,85233,False,Not Available,US
437 Hampton Green Dr,GA,Lagrange,30240,False,7736,US
24973 Highway 35,MS,Vaiden,39176,False,9553,US
1754 Linda Lakes Ln.,FL,Middleburg,32068,False,Not Available,US
11211 Crossland Drive,TX,Austin,78726,False,Not Available,US
31426 Lee Rd,MO,Sedalia,65301,False,1712,US
3530 N Southport Ave,IL,chicago,60657,False,Not Available,US
110 KINGSDOWN AVE,NC,CHARLOTTE,28270,False,Not Available,US
3850 W 64th Place,IL,Chicago,60629,False,Not Available,US
303 Emma dr,AR,Brookland,72417,False,Not Available,US
342 Helena Way,CA,Madera,93637,False,5712,US
40 Roy St,MA,Swampscott,01907,False,6005,US
33300 Mission Blvd,CA,Union City,94587,False,1444,US
1838 22nd St,CA,Santa Monica,90404,False,3928,US
5111 W School St,IL,Chicago,60641,False,4229,US
108 E Clarke Pl Apt 47A,NY,Bronx,10452,False,7623,US
6105 39th Pl,MD,Hyattsville,20782,False,3009,US
169 Railroad Ave,RI,Harrisville,02830,False,1304,US
1020 Comstock DR,NC,Charlotte,28217,False,Not Available,US
13930 Chadron Ave,CA,Hawthorne,90250,False,8285,US
5012 Byers Ave,TX,Fort Worth,76107,False,3626,US
2520 Greywall Ave,FL,Ocoee,34761,False,8932,US
1519 E Calle Salamanca,AZ,Tucson,85714,False,3117,US
2583 Edmond Cir,FL,Auburndale,33823,False,4804,US
380 E 143rd St,NY,Bronx,10454,False,1234,US
269 Old Stagecoach Rd,CT,Meriden,06450,False,6651,US
10818 Huffmeister Road,TX,Houston,77065,False,Not Available,US
94 Valley Stream Park,PA,Mountain Top,18707,False,9048,US
524 Commerce St,AL,Jackson,36545,False,Not Available,US
1646 1st Ave,NY,New York,10028,False,4632,US
19962 SW 96th Pl,FL,Dunnellon,34432,False,4112,US
3836 Carisbrook Ave,NV,North Las Vegas,89081,False,Not Available,US
281 County Highway 32A,NY,Cherry Valley,13320,False,Not Available,US
15 Hall Ave,RI,Warren,2885,False,Not Available,US
1002 Calle Frondosa,CA,San Dimas,91773,False,Not Available,US
4205 cunningham dr,OK,Okc,73170,True,Not Available,US
4223 East 10th Street,CA,Long Beach,90804,False,Not Available,US
715 Clinton River Dr,MI,Mount Clemens,48043,False,2489,US
7507Abingdon Abingdon Way Court,MO,St. Louis,63129,False,Not Available,US
1724 Hunters Trl,SC,Rock Hill,29732,False,1759,US
201 Andrew Road,PA,Coatesville,19320,False,Not Available,US
1820 Rudolph Ln,MD,Lusby,20657,False,4040,US
455 Sunnehanna Drive #544,SC,Myrtle Beach,29588,False,Not Available,US
31 Nambe West,NM,Santa Fe,87508,False,Not Available,US
2426 Tullibee Drive,VA,Norfolk,23518,False,Not Available,US
336 Benge Dr,NC,Elkin,28621,False,Not Available,US
9404 Royalton Dr,LA,Shreveport,71118,False,3613,US
347 W Chestnut St,IL,Chicago,60610,False,Not Available,US
1707 Sacramento St,CA,Berkeley,94702,False,1501,US
410 E Locust St,PA,Fleetwood,19522,False,1609,US
4910 Kraus Road,NY,Clarence,14031,False,Not Available,US
513 Old Lincoln Rd,TN,Fayetteville,37334,False,6833,US
2607 Garner Rd SW,NM,Albuquerque,87105,False,6780,US
633 Water Street,MD,Friendsville,21531,False,Not Available,US
349 N Main St,NJ,Milltown,08850,False,1441,US
35 Wood St,CA,San Francisco,94118,False,Not Available,US
3054 Villanelle Ave,NV,Henderson,89044,False,Not Available,US
9603 East Avenue R 14,CA,Littlerock,93543,False,Not Available,US
2514 Shepherd Valley Street,NC,Raleigh,27610,False,Not Available,US
851 E 215th St,NY,Bronx,10467,False,5812,US
1 Acre Dr,CT,Danbury,6811,False,Not Available,US
4437 Central Lane,TX,Balch Springs,75180,False,Not Available,US
13100 Norris Ave,CA,Sylmar,91342,False,Not Available,US
5624 S Menard Ave,IL,Chicago,60638,False,3730,US
1633 Salerno Cir,FL,Weston,33327,False,1901,US
3100 South Cherokee Street,CO,Englewood,80110,False,Not Available,US
6633 Laxey Ct,FL,Zephyrhills,33541,False,2853,US
12202 Lotus Vine Street,CA,Bakersfield,93311,True,Not Available,US
7328 Ambleside Dr,FL,Land o Lakes,34637,False,7566,US
7 Taunton St,MA,Plainville,02762,False,2173,US
7626 Marsh Ave,CA,Rosemead,91770,False,3424,US
2702 Sligo Ln,MI,Brighton,48114,False,8133,US
107 North Chinook Street,WA,Moxee,98936,False,Not Available,US
609 fairhaven Way,CA,Novato,94947,False,Not Available,US
577 E Park Ave,AZ,Gilbert,85234,False,5893,US
1559 N 1st Ave,CA,Upland,91786,False,2308,US
5375 Shattuck Ave,CA,Fremont,94555,False,Not Available,US
47995 Candace Ln,MI,Canton,48187,False,Not Available,US
14419 Brunswick Point Lane,TX,Houston,77047,False,Not Available,US
15731 Bernardo Heights Parkway,CA,San Diego,92128,False,Not Available,US
903 Loganwood Avenue,TX,Richardson,75080,False,Not Available,US
23 Mayfair Dr,SC,Bluffton,29910,False,Not Available,US
210 Oakwood Street SE Apt. 302,DC,Washington,20032,False,Not Available,US
1354 Sweetbriar Lane,MD,Bel Air,21014,False,Not Available,US
200 3rd Street,PA,Shoemakersville,19555,False,Not Available,US
692 Milford Point Road,CT,Milford,6460,False,Not Available,US
2928 SE 2nd St,FL,Homestead,33033,False,7318,US
17 West 108st,NY,New York,10025,False,Not Available,US
8820 NW 78th Ct,FL,Tamarac,33321,False,1463,US
1003 N Sandalwood Ave,CA,Rialto,92376,False,3899,US
709 Marsha Ln,IL,Rock Falls,61071,False,1861,US
4204 US Highway 80 E,TX,Mesquite,75149,False,Not Available,US
512 W Riverside Dr,AZ,Parker,85344,False,Not Available,US
1261 Southwick Ln,CA,Lincoln,95648,False,8028,US
4607 N Monticello Ave,IL,Chicago,60625,False,6405,US
40131 Holland Rd,LA,Ponchatoula,70454,False,6719,US
111 W Polk St Apt 510,IL,Chicago,60605,False,2090,US
111 Stroud St,NY,Canastota,13032,False,1423,US
6827 Hwy 6,LA,Natchitoches,71457,False,Not Available,US
15262 Hoyle Rd,OH,Berlin Center,44401,False,9785,US
357 Meadowsedge Dr,IL,Woodstock,60098,False,3665,US
101 Aberdeen Circle,GA,Cordele,31015,False,Not Available,US
3868 Boot Bay Rd,FL,Plant City,33563,False,1334,US
7073 Bramblebush Dr,TX,Frisco,75033,False,3838,US
29 Meadow Lane,MA,Westford,1886,False,Not Available,US
2214 E 113th Ave,FL,Tampa,33612,False,6249,US
10762 Kingsfield Ln,MN,Saint Paul,55129,False,8349,US
473 W 21st St,NY,New York,10011,False,2943,US
24310 2nd Place West,WA,Bothell,98021,False,Not Available,US
2313 Transcontinental Dr,LA,Metairie,70001,False,1024,US
850 E Old Willow Rd,IL,Prospect Heights,60070,False,2118,US
23-88 28th Street,NY,Queens,11105,False,Not Available,US
2504 Skagway Dr,OH,Northwood,43619,False,2020,US
66 Grant St,MA,West Bridgewater,02379,False,1218,US
687 Franklin Ave,IA,Council Bluffs,51503,False,4912,US
5847 Morningside Ave,TX,Dallas,75206,True,5919,US
107 Chapel Street,NY,Mount Morris,14510,False,Not Available,US
101 Saint George blvd,GA,Savannah,31419,False,Not Available,US
4439 Third Ave,NY,Bronx,10457,False,Not Available,US
20 THACKERY PL Apt. 4,GA,Savannah,31405,False,Not Available,US
9007 18th Avenue Southwest,WA,Seattle,98106,False,Not Available,US
112 S 16th st,PA,Camp Hill,17011,False,Not Available,US
9025 Ochoa St,NV,Las Vegas,89143,False,5452,US
102 Parkway Lane,NC,Havelock,28532,False,Not Available,US
2777 S. Arizona Ave #1005,AZ,CHANDLER,85286,False,Not Available,US
239 Friedrichs Rd,LA,Gretna,70056,True,3883,US
2869 N Arrowhead Ave,CA,San Bernardino,92405,False,3407,US
203 Sherwood Ave,MD,Pikesville,21208,False,Not Available,US
1300 Golf Course Rd,TN,Newport,37821,False,7111,US
19 mockingbird lane,AR,vilonia,72173,False,Not Available,US
227 North St,KS,Carbondale,66414,False,Not Available,US
416 Lake Ridge Dr,IN,Henryville,47126,False,8692,US
1330 Waverland Dr,GA,Macon,31211,False,1324,US
6404 Candletree Lane,TX,McKinney,75070,False,Not Available,US
1420 Peachtree Drive,OH,Ashland,44805,False,Not Available,US
1420 Riverside Dr,VA,Virginia Beach,23453,False,1707,US
6 Olivia`s Court,PA,Frackville,17931,False,Not Available,US
1771 Virginia St,TX,Shepherd,77371,False,2857,US
13734 Fordham Ave,MN,Saint Paul,55124,False,5605,US
4913 Olivia Lane,TX,Wichita Falls,76310,False,Not Available,US
80 S Loveland Ave,PA,Kingston,18704,False,4545,US
190 vanover Rd w,KY,London,40744,False,Not Available,US
10895 Touchstone Loop,CO,Parker,80134,False,Not Available,US
530 Tulane Dr Apt 18,ND,Grand Forks,58203,False,2792,US
805 Orange Heights Dr,TX,Harlingen,78550,False,4118,US
314 Clayton Road,NJ,WILLIAMSTOWN,8094,True,Not Available,US
1729 Old Wood Rd,IL,Rockford,61107,False,Not Available,US
761 Taylor st,IL,Morton,61550,False,Not Available,US
2530 Citrus Tower Blvd,FL,Clermont,34711,False,6926,US
10025 Waterstone Way,TX,McKinney,75072,False,Not Available,US
176 Commonwealth Ave,NY,Buffalo,14216,False,2308,US
3209 Roberta St,LA,Metairie,70003,False,1751,US
8764 125th St,NY,Richmond Hill,11418,False,2707,US
2525 Las Flores St,CA,Alhambra,91803,False,4305,US
3231 Lilly Ave,CA,Long Beach,90808,False,3245,US
20543 Wyandotte,CA,Winnetka,91306,False,Not Available,US
20102 Lower Crab Creek Rd SW,WA,Beverly,99321,False,0300,US
7114 Robin Meadow St,TX,Pearland,77581,False,8259,US
180 Chestnut Flat Rd,PA,Shelocta,15774,False,7251,US
6978 N Braeburn Ln,WI,Milwaukee,53209,False,2608,US
18 Adams Lane,RI,Smithfield,2917,False,Not Available,US
1742 E 122nd St,CA,Los Angeles,90059,False,3030,US
15045 Jenkins Hill Lane,VA,Culpeper,22701,False,Not Available,US
23416 Petroleum Ave,CA,Torrance,90502,False,Not Available,US
1456 E Philadelphia St,CA,Ontario,91761,False,5726,US
6127 167th St,NY,Fresh Meadows,11365,False,1935,US
5036 Los Feliz Blvd,CA,Los Angeles,90027,True,1741,US
164 Bonita St,FL,Titusville,32780,False,8126,US
9100 ANDREWS hwy,TX,Odessa,79765,False,Not Available,US
1750 Hancock Ave,PA,Apollo,15613,False,8401,US
