,inputs.city,inputs.country,inputs.post_code,inputs.post_code_extension,inputs.safety_flag,inputs.state,inputs.street,attomdata_attom_id.row_id,attomdata_attom_id.client_id,attomdata_attom_id.attom_id,attomdata_attom_id.is_hit,attomdata_attom_id.error
30,Burlington,US,52601,5913,False,IA,1005 S 10th St,30,,31318259,True,
31,South Point,US,45680,Not Available,False,OH,114 Private Road 2482,31,,,False,
32,Chetek,US,54728,Not Available,False,WI,933 28th St,32,,309472724,True,
33,FORT COLLINS,US,80525,Not Available,False,CO,6951 Aruba Ln,33,,14345795,True,
34,Perris,US,92571,Not Available,False,CA,375 E Ramona Expressway,34,,,False,
35,Fort Lauderdale,US,33309,Not Available,True,FL,3723 Pacific Breeze Circle,35,,,False,
36,New Orleans,US,70131,Not Available,False,LA,5000 Woodland Dr,36,,193182543,True,
37,oakland,US,94603,Not Available,False,CA,1939 109th ave,37,,24152151,True,
38,Crestview,US,32536,Not Available,False,FL,2481 Bell Ridge Dr,38,,54821944,True,
39,brooklyn,US,11211,Not Available,False,NY,170 north 5th st,39,,151216922,True,
40,Lawrenceville,US,30043,Not Available,False,GA,1670 Granville Court,40,,153620462,True,
41,Alpharetta,US,30009,Not Available,False,GA,993 Dassow Ct,41,,312243606,True,
42,Naperville,US,60565,6739,False,IL,1718 Beloit Dr,42,,49767243,True,
43,Oakley,US,94561,5229,False,CA,58 Grand Canyon Cir,43,,10171757,True,
44,Middle River,US,21220,4604,False,MD,43 Blister St,44,,187017677,True,
45,Bristol,US,24202,2773,False,VA,22219 Jewell Dr,45,,211821027,True,
46,Bloomfield,US,6002,Not Available,False,CT,30 Liberty Sq,46,,,False,
47,Katy,US,77449,2145,False,TX,3711 Bright Moon Ct,47,,326535925,True,
48,Wickliffe,US,44092,Not Available,False,OH,1017 Worden Road,48,,183182672,True,
49,Sidney,US,45365,3465,False,OH,1231 Maple Leaf Ct,49,,41100173,True,
50,Berwyn,US,60402,2779,False,IL,2703 Clarence Ave,50,,23074478,True,
51,Houston,US,77039,6135,False,TX,11822 Varnell St,51,,165824804,True,
52,St. Augustine,US,32080,Not Available,False,FL,268 Ocean Cay Boulevard,52,,252322208,True,
53,Chicago,US,60615,2374,False,IL,4950 S King Dr Apt 3E,53,,,False,
54,Sanger,US,93657,Not Available,True,CA,849 sequoia ave,54,,150243646,True,
55,Buckeye,US,85396,7241,False,AZ,25982 W Potter Dr,55,,152483391,True,
56,Cedar Rapids,US,52405,Not Available,False,IA,4627 1st Avenue SW,56,,,False,
57,Montclair,US,91763,Not Available,False,CA,4948 olive street,57,,239949082,True,
58,Wynantskill,US,12198,Not Available,False,NY,323 Peck Road,58,,170476863,True,
59,Hopewell Junction,US,12533,Not Available,True,NY,50 Oak Dr,59,,144965966,True,
60,Somerville,US,2145,4123,False,MA,53 Flint St,60,,53179823,True,
61,Maynard,US,1754,2119,False,MA,113 Parker St,61,,193418019,True,
62,Del rio,US,78840,Not Available,False,TX,111 kingsway,62,,,False,
63,Cactus,US,79013,Not Available,True,TX,710 Ashton,63,,,False,
64,Adelanto,US,92301,Not Available,False,CA,11081 Fuchsia ct,64,,246260153,True,
65,Hialeah,US,33015,4567,False,FL,6290 NW 173rd St,65,,162849094,True,
66,Lubbock,US,79423,3843,False,TX,3404 97th St,66,,167660944,True,
67,Georgetown,US,19947,2316,False,DE,308 N Margaret St,67,,30906378,True,
68,Castro Valley,US,94546,3824,False,CA,17474 Ehle St,68,,35009955,True,
69,Seattle,US,98107,Not Available,False,WA,1501 NW 56th St,69,,,False,
70,Dallas,US,75211,Not Available,False,TX,1804 Uruapan Plz,70,,,False,
71,Dallas,US,75235,Not Available,False,TX,3301 Hudnall St Apt 3301,71,,,False,
72,Plymouth,US,48170,Not Available,False,MI,11705 Sycamore Dr,72,,38513497,True,
73,Kimball,US,55353,2739,True,MN,12420 County Road 150,73,,212532697,True,
74,Lowell,US,46356,Not Available,False,IN,17517 Merlin Drive,74,,31442893,True,
75,Houston,US,77083,1423,True,TX,6222 Ladera Dr,75,,41618418,True,
76,Briarwood,US,11435,2590,False,NY,14168 85th Rd Apt 6B,76,,,False,
77,PORT CHARLOTTE,US,33954,Not Available,False,FL,23509 NELSON AVE,77,,146101137,True,
78,Providence,US,2903,Not Available,False,RI,131 Washington Street,78,,,False,
79,Champaign,US,61821,2625,False,IL,1202 W Washington St,79,,25850551,True,
80,Cumberland,US,2864,1814,False,RI,4040 Mendon Rd,80,,194846354,True,
81,Daly City,US,94015,3704,False,CA,780 Beechwood Dr,81,,155927206,True,
82,Houston,US,77090,6739,False,TX,150 Dominion Park Dr Apt 908,82,,,False,
83,Orland Hills,US,60487,7215,False,IL,8840 Hickory Dr,83,,100024042,True,
84,Staten Island,US,10310,1219,False,NY,39 Dongan St,84,,46791848,True,
85,Eugene,US,97404,Not Available,False,OR,1570 Alderwood Street,85,,195561920,True,
86,Bloomfield,US,7003,5001,False,NJ,397 Berkeley Ave,86,,50475166,True,
87,Gamaliel,US,72537,9513,False,AR,3762 Highway 101,87,,,False,
88,Honolulu,US,96825,2652,False,HI,1145 Wainiha St,88,,192634951,True,
89,Parker,US,80134,3357,False,CO,9611 Keystone Trl,89,,,False,
90,Bayonne,US,7002,2125,False,NJ,10 Bergen Ct,90,,,False,
91,Midland,US,79703,6416,False,TX,3812 Cedar Spring Dr,91,,34483192,True,
92,Glendale Heights,US,60139,Not Available,False,IL,24 Oriole Ln,92,,174629539,True,
93,Somerset,US,2726,4718,False,MA,55 Forestdale Dr,93,,8490749,True,
94,Fairfield,US,17320,Not Available,False,PA,48 Crossland Trail,94,,,False,
95,Swartz Creek,US,48473,9728,False,MI,2064 S Elms Rd,95,,151938102,True,
96,Myrtle Beach,US,29588,Not Available,False,SC,315 Saint Andrews Lane,96,,192694848,True,
97,Houston,US,77048,4162,False,TX,12802 Rockford Dr,97,,993423,True,
98,Wadsworth,US,44281,8648,False,OH,10397 Golden Ridge Dr,98,,52642749,True,
99,San Antonio,US,78213,Not Available,False,TX,1332 Grey Oak Dr,99,,167302284,True,
100,Rancho Cucamonga,US,91730,3132,False,CA,8279 Tapia Via Dr,100,,16858038,True,
101,Oxon Hill,US,20745,1114,False,MD,733 Shelby Dr,101,,18324821,True,
102,Rockford,US,61108,8023,False,IL,2125 Wentworth Ave,102,,,False,
103,Marysville,US,98271,8374,False,WA,11727 47th Ave NE Unit A,103,,,False,
104,Beach Park,US,60087,Not Available,False,IL,37541 N. North Ave.,104,,176173159,True,
105,Old Greenwich,US,6870,Not Available,False,CT,15 Shore Road,105,,190693743,True,
106,Bronx,US,10454,3118,False,NY,600 E 137th St,106,,,False,
107,Gilbert,US,85234,7627,False,AZ,4343 E Princeton Ave,107,,158882909,True,
108,Berkeley,US,94704,2260,False,CA,2425 Channing Way,108,,,False,
109,Lindenhurst,US,11757,Not Available,False,NY,79 East Seacrest Avenue,109,,170554585,True,
110,Alexandria,US,22304,Not Available,False,VA,250 S Whiting St,110,,148136327,True,
111,Coushatta,US,71019,Not Available,True,LA,5296 Highway 507,111,,297193179,True,
112,Danielson,US,6239,1918,False,CT,154 Mechanic St,112,,3015659,True,
113,Murrieta,US,92562,Not Available,False,CA,24312 Via Las Junitas,113,,21360372,True,
114,Socorro,US,79927,3819,False,TX,10743 Gail Pl,114,,7595814,True,
115,Harvey,US,70058,4915,False,LA,1886 Otis St,115,,146294869,True,
116,Auburn,US,36832,Not Available,False,AL,1985 Lee rd 137 Apt A,116,,,False,
117,Manchester,US,37355,3525,False,TN,2149 Woodbury Hwy,117,,54079445,True,
118,Richmond,US,23223,1500,False,VA,2916 Sandy Grove Ct,118,,34623137,True,
119,Berry,US,35546,2449,False,AL,655 Barrie Ln,119,,290575909,True,
120,Akron,US,44313,5314,False,OH,2004 Thornhill Dr,120,,29895554,True,
121,San Jose,US,95122,1153,False,CA,2534 Greenstone Ct,121,,19548270,True,
122,Malden,US,2148,Not Available,False,MA,180 Kennedy Dr. Apt 511,122,,,False,
123,Takoma Park,US,20912,Not Available,False,MD,7736 Maple Ave,123,,,False,
124,Spring,US,77380,1208,False,TX,3202 Gary Ln,124,,17332121,True,
125,Houston,US,77082,5659,False,TX,3707 Shadow Wick Ln,125,,50717624,True,
126,Silver Spring,US,20901,1443,False,MD,710 Burnt Mills Ave,126,,50153027,True,
127,Selden,US,11784,1323,False,NY,354 Magnolia Dr,127,,2396433,True,
128,Charlotte,US,28216,3186,True,NC,415 Ferrell Ave,128,,31236220,True,
129,Laramie,US,82070,Not Available,False,WY,11 Sara Ct.,129,,310553721,True,
130,Strasburg,US,22657,3610,False,VA,447 Little Sorrel Dr,130,,23881656,True,
131,Goodyear,US,85338,7343,False,AZ,16739 W Yavapai St,131,,16920902,True,
132,Prattville,US,36067,4443,False,AL,506 Harrison Rd,132,,,False,
133,Denison,US,75020,3535,False,TX,114 S Imperial Dr,133,,165561137,True,
134,montgomery village,US,20886,Not Available,False,MD,20331 gentle way,134,,29543912,True,
135,Brighton,US,48114,Not Available,False,MI,8252 Woodland Shore Drive,135,,31627171,True,
136,Hartford,US,42347,1841,False,KY,203 Carlisle Rd,136,,296421981,True,
137,Snellville,US,30078,Not Available,False,GA,2443 Folsom Street,137,,151177823,True,
138,Conyers,US,30094,5817,False,GA,1702 Lancaster Creek Cir SW,138,,171881844,True,
139,Broomall,US,19008,Not Available,False,PA,126 Sylvan Drive,139,,147994076,True,
140,brownsville,US,78520,Not Available,False,TX,1006 grey fox cir,140,,166444261,True,
141,Denver,US,80229,5918,False,CO,811 Downing Way,141,,2940258,True,
142,New Braunfels,US,78130,4451,False,TX,1062 Calm Breeze,142,,249481241,True,
143,Palmyra,US,22963,2808,False,VA,433 Jefferson Dr,143,,,False,
144,Baytown,US,77521,Not Available,False,TX,5306 Fairtide Drive,144,,41719682,True,
145,Las Vegas,US,89103,Not Available,True,NV,4320 Gannet Cir apt 113,145,,,False,
146,Niles,US,60714,Not Available,False,IL,7131 N Riverside Dr,146,,150478386,True,
147,Sugarloaf,US,18249,3623,False,PA,34 Prospect Rd,147,,179695902,True,
148,Brazil,US,47834,7919,False,IN,1007 W Deer Creek Dr,148,,214914322,True,
149,Katy,US,77449,6168,False,TX,19811 Arbor Creek Dr,149,,44584830,True,
150,Eastvale,US,92880,Not Available,False,CA,14903 Bridal Trail Circle,150,,,False,
151,Placentia,US,92870,2410,True,CA,1713 Canard Ave,151,,21998915,True,
152,Gurnee,US,60031,1532,False,IL,18361 W Woodland Ter,152,,,False,
153,Overton,US,68863,5805,False,NE,74741 E Rd,153,,301429938,True,
154,Harvard,US,60033,Not Available,False,IL,7809 Commercial St,154,,145202173,True,
155,Jb Andrews,US,20762,5496,False,MD,2026 Bedford Dr,155,,,False,
156,Port Chester,US,10573,Not Available,True,NY,52 riverdale ave,156,,53532835,True,
157,Murrieta,US,92562,6052,True,CA,23734 Morning Glory Dr,157,,46166216,True,
158,Galloway,US,43119,Not Available,False,OH,956 Drayson Dr,158,,27315344,True,
159,Fort Worth,US,76106,7105,False,TX,2825 Ellis Ave,159,,166125633,True,
160,Aurora,US,60505,Not Available,False,IL,930 Autumn Lane,160,,7587864,True,
161,Garnerville,US,10923,Not Available,False,NY,23 Stanley Rd.,161,,4293474,True,
162,Fontana,US,92335,5416,False,CA,15884 Grevillea St,162,,20308622,True,
163,Oxford,US,48371,4974,False,MI,96 S Washington St,163,,146940030,True,
164,Chicago,US,60630,Not Available,False,IL,4451 N Kilbourn Ave,164,,18143997,True,
165,Addis,US,70710,3043,False,LA,4108 Olivia Dr,165,,297409882,True,
166,San Antonio,US,78218,4223,False,TX,203 Grantham Dr,166,,36526635,True,
167,Wilmington,US,90744,3165,False,CA,1155 Ravenna Ave,167,,,False,
168,Sacramento,US,95823,4920,False,CA,6800 Wyndham Dr Apt T1,168,,,False,
169,Arcadia,US,91007,7326,False,CA,515 W Duarte Rd,169,,154804379,True,
170,Far Rockaway,US,11691,Not Available,False,NY,2944 Beach Channel Drive,170,,,False,
171,El Paso,US,79925,Not Available,False,TX,6101 Gateway West Blvd Apt 207,171,,,False,
172,Sugar Land,US,77479,5488,False,TX,2506 Stonebury Ln,172,,2585380,True,
173,Stone Mountain,US,30087,2960,False,GA,1054 Hodges Way,173,,46958526,True,
174,Wyckoff,US,7481,Not Available,False,NJ,585 Eder ave,174,,17543627,True,
175,New Albany,US,47150,2000,False,IN,117 McConnell Dr,175,,212361301,True,
176,League City,US,77573,Not Available,False,TX,4501 Weathersfield Ct.,176,,36370768,True,
177,Elk Grove,US,95757,1669,False,CA,10424 Siltstone Way,177,,216291259,True,
178,Kew Gardens,US,11415,Not Available,False,NY,85-18 125th Street,178,,,False,
179,Denver,US,80203,Not Available,False,CO,1435 N pearl St,179,,,False,
180,Valley Stream,US,11580,Not Available,False,NY,62 Stephen Place,180,,142775286,True,
181,Modesto,US,95354,3837,False,CA,405 S Conejo Ave,181,,19429221,True,
182,RIVERBANK,US,95367,Not Available,False,CA,3960 SWEEPSTAKES DR,182,,21764060,True,
183,Henderson,US,89074,Not Available,False,NV,1158 Teal point dr.,183,,10705746,True,
184,Saint Petersburg,US,33703,4520,False,FL,950 39th Ave N,184,,161652390,True,
185,Charlestown,US,3603,4226,False,NH,60 Windy Acres Rd,185,,,False,
186,La Grange,US,28551,6708,False,NC,3725 Sandy Ridge Farm Rd,186,,220695243,True,
187,Belgrade,US,59715,Not Available,False,MT,401 bridger view,187,,,False,
188,Kirbyville,US,75956,4245,False,TX,1821 County Road 474,188,,307469451,True,
189,Sunrise,US,33323,Not Available,False,FL,11901 NW 42nd ST,189,,159863695,True,
190,Richmond,US,77406,9673,False,TX,1800 Pecan Lake Dr,190,,165760720,True,
191,Smyrna,US,19977,Not Available,False,DE,374 India Drive,191,,9906605,True,
192,Marietta,US,30008,3269,False,GA,543 Picketts Bend Cir,192,,10715313,True,
193,Greensboro,US,27408,Not Available,False,NC,1809 Colonial Ave,193,,2227330,True,
194,Deltona,US,32738,9092,False,FL,642 Vardon Ave,194,,38227996,True,
195,Olalla,US,98359,Not Available,False,WA,10848 Orchard Ave SE,195,,206597852,True,
196,Sherwood,US,72120,3265,False,AR,127 Plumdale Dr,196,,40699439,True,
197,Ruskin,US,33570,Not Available,False,FL,2206 Chaney Dr. #240,197,,,False,
198,Advance,US,27006,7082,True,NC,192 Thousand Trails Dr,198,,,False,
199,N Tonawanda,US,14120,Not Available,False,NY,253 Oelkers St,199,,48785965,True,
200,Vicksburg,US,39180,5020,False,MS,1026 Polk St,200,,220607617,True,
201,Albany,US,31721,9538,False,GA,125 Shady Glen Ln,201,,9844105,True,
202,San Diego,US,92101,Not Available,False,CA,1450 Market Street,202,,209263687,True,
203,Machesney Park,US,61115,1072,False,IL,11731 Ventura Blvd,203,,39229251,True,
204,San Antonio,US,78258,7313,False,TX,23315 S Breeze St,204,,166731748,True,
205,St. Helena Island,US,29920,Not Available,False,SC,19 Doctors Lane,205,,199518541,True,
206,Seattle,US,98102,Not Available,False,WA,"1562 E OLIVE WAY, APT 108",206,,,False,
207,Woodhaven,US,11421,2423,False,NY,8059 88th Rd,207,,168086273,True,
208,Stockton,US,95207,7714,False,CA,624 Salem Way,208,,,False,
209,Thibodaux,US,70301,Not Available,False,LA,168 Belle Isle Drive,209,,239493398,True,
210,Leander,US,78641,2022,False,TX,1147 Pine Portage Loop,210,,47785175,True,
211,Rockledge,US,32955,Not Available,False,FL,1803 Plata Ct,211,,43064511,True,
212,Modesto,US,95358,1344,False,CA,1425 N Rosemore Ave,212,,144760867,True,
213,SAN DIEGO,US,92117,Not Available,False,CA,3171 Clairemont Dr,213,,,False,
214,Herald,US,95638,9765,False,CA,12277 Kirkwood St,214,,10954299,True,
215,Enid,US,73703,6273,False,OK,1111 S Oakwood Rd,215,,220068921,True,
216,Thorndale,US,19372,Not Available,False,PA,3204 Sylvan Drive,216,,179995067,True,
217,Crewe,US,23930,3728,False,VA,478 Whitmore Town Rd,217,,308922159,True,
218,Island Lake,US,60042,Not Available,False,IL,221 West Burnett Road,218,,39101818,True,
219,New York City,US,10002,Not Available,False,NY,"167 East Broadway, Apt 12",219,,,False,
220,Venice,US,90291,3518,False,CA,1099 Nowita Pl,220,,154535968,True,
221,Pueblo,US,81005,1031,True,CO,3 Twilight Ln,221,,4300587,True,
222,Elk Grove,US,95757,6202,False,CA,9696 Philta Way,222,,249311202,True,
223,Hudson Oaks,US,76087,Not Available,False,TX,219 Live Oak Drive,223,,166948182,True,
224,Fort Worth,US,76112,3031,False,TX,5900 Chimney Wood Cir,224,,1819105,True,
225,Portsmouth,US,23704,Not Available,False,VA,850 Crawford pkwy apt 4214,225,,,False,
226,Galt,US,95632,8330,False,CA,12201 Boessow Rd,226,,155861958,True,
227,Falls City,US,68355,1952,False,NE,1707 Towle St,227,,214723252,True,
228,Savannah,US,31410,3847,False,GA,401 N Cromwell Rd,228,,34438931,True,
229,Atlanta,US,30331,2058,False,GA,3728 Mays Xing SW,229,,,False,
230,Pembroke Pines,US,33023,1065,False,FL,600 SW 71st Way,230,,160659180,True,
231,Grand Island,US,68803,Not Available,False,NE,4234 Arizona Ave,231,,214628712,True,
232,Rock Springs,US,82901,Not Available,False,WY,2350 Reagan Ave.,232,,,False,
233,Bulverde,US,78163,Not Available,False,TX,740 Persimmon Hl,233,,,False,
234,Englewood,US,7631,4813,False,NJ,100 Sterling Blvd,234,,,False,
235,Mauk,US,31058,Not Available,False,GA,1129 Sandpit Road,235,,238402043,True,
236,San Francisco,US,94130,1103,True,CA,1227D Northpoint Dr,236,,,False,
237,Portland,US,97213,Not Available,False,OR,3801 NE 81st Ave.,237,,20514295,True,
238,Portland,US,97221,3745,False,OR,4124 SW Tunnelwood St,238,,186995001,True,
239,Dallas,US,75235,8790,False,TX,5006 Cedar Springs Rd,239,,33393956,True,
240,Apple Valley,US,92308,6338,False,CA,20624 Eyota Rd,240,,45141988,True,
241,Nashville,US,37217,4409,False,TN,2999 Smith Springs Rd,241,,36145375,True,
242,Highland Park,US,48203,3348,True,MI,228 E Buena Vista St,242,,53178989,True,
243,Lawrence,US,66046,5307,False,KS,2621 Cranley St,243,,217900823,True,
244,BRONX,US,10468,Not Available,False,NY,2254 CEDAR AVE APT E,244,,,False,
245,Lewistown,US,59457,Not Available,False,MT,212 W Corcoran st,245,,300571591,True,
246,Stockton,US,95210,Not Available,False,CA,9006 Aylesford ln,246,,26432979,True,
247,Milwaukee,US,53211,2459,False,WI,2709 E Shorewood Blvd,247,,34231124,True,
248,Brentwood,US,94513,Not Available,False,CA,1065 Coriander Dr,248,,206525383,True,
249,Denver,US,80236,3388,False,CO,4764 W Tufts Cir,249,,52426665,True,
250,temple hills,US,20748,Not Available,False,MD,6203 summerhill road,250,,190953631,True,
251,St PETERSBURG,US,33701,Not Available,False,FL,609 6th st N,251,,,False,
252,Olympia,US,98503,Not Available,False,WA,2038 Marvin Rd SE,252,,185660688,True,
253,Salinas,US,93906,3676,False,CA,415 Tyler Pl,253,,150031136,True,
254,Sioux City,US,51106,Not Available,False,IA,1413 South Hennepin Street,254,,154292140,True,
255,Rio Rico,US,85648,2961,False,AZ,368 Via Aloe Vera,255,,836250,True,
256,Aurora,US,80011,Not Available,False,CO,13650 East Colfax Avenue,256,,253157145,True,
257,Bloomfield,US,6002,2005,False,CT,107 Tunxis Ave,257,,13922698,True,
258,Louisville,US,40218,Not Available,False,KY,5510 Robinwood rd,258,,13252278,True,
259,Longwood,US,32750,Not Available,False,FL,954 Waverly Dr,259,,16612343,True,
260,Chula Vista,US,91910,3154,False,CA,81 Center St,260,,49255215,True,
261,Antelope,US,95843,Not Available,False,CA,8528 Brisenbourg Way,261,,155707017,True,
262,Herndon,US,20170,2945,False,VA,12854 Fantasia Dr,262,,5313383,True,
263,Columbia,US,65203,Not Available,False,MO,5412 Baseline Place,263,,,False,
264,Peoria,US,61604,5975,False,IL,810 S Pleasant St,264,,176242372,True,
265,Pocatello,US,83201,Not Available,False,ID,3100 Owyhee Street,265,,312505163,True,
266,Independence,US,64050,2408,False,MO,1104 W College St,266,,50084536,True,
267,Irving,US,75062,2907,False,TX,3916 Twin Falls St,267,,50763349,True,
268,Miami Gardens,US,33055,3080,False,FL,4477 NW 185th St,268,,24548577,True,
269,Methuen,US,1844,4840,False,MA,12 Cypress Ave,269,,21498084,True,
270,Stockton,US,95209,2405,False,CA,2111 Alcazar Way,270,,140162436,True,
271,Bronx,US,10468,1015,False,NY,3400 Paul Ave,271,,168585919,True,
272,Tacoma,US,98408,3435,False,WA,1132 S 60th St,272,,15267605,True,
273,Corona,US,92880,1319,False,CA,1043 Normandy Ter,273,,,False,
274,New York,US,10002,Not Available,False,NY,577 FDR Drive,274,,,False,
275,Washington,US,20003,Not Available,False,DC,1345 South Capitol Street Southwest,275,,193032300,True,
276,Elk Grove,US,95758,Not Available,False,CA,8760 Center PKWY,276,,157952038,True,
277,Hyattsville,US,20782,3103,False,MD,5810 30th Ave,277,,42130215,True,
278,Clinton,US,84015,Not Available,False,UT,2418 N 1050 W,278,,152902054,True,
279,Manassas,US,20110,Not Available,False,VA,9418 Spotsylvania Street,279,,35956545,True,
280,Anderson,US,46013,1739,False,IN,433 E 54th St,280,,28020252,True,
281,Tucson,US,85711,6035,False,AZ,5972 E Juarez St,281,,159204471,True,
282,Levittown,US,11756,Not Available,False,NY,143 Farmedge Rd,282,,45643424,True,
283,Lancing,US,37770,3204,False,TN,356 Montgomery Rd,283,,188968491,True,
284,Gilbert,US,85233,Not Available,False,AZ,1333 W Guadalupe Rd.,284,,26006104,True,
285,Lagrange,US,30240,7736,False,GA,437 Hampton Green Dr,285,,147404841,True,
286,Vaiden,US,39176,9553,False,MS,24973 Highway 35,286,,,False,
287,Middleburg,US,32068,Not Available,False,FL,1754 Linda Lakes Ln.,287,,324738012,True,
288,Austin,US,78726,Not Available,False,TX,11211 Crossland Drive,288,,166321905,True,
289,Sedalia,US,65301,1712,False,MO,31426 Lee Rd,289,,300018649,True,
290,chicago,US,60657,Not Available,False,IL,3530 N Southport Ave,290,,,False,
291,CHARLOTTE,US,28270,Not Available,False,NC,110 KINGSDOWN AVE,291,,,False,
292,Chicago,US,60629,Not Available,False,IL,3850 W 64th Place,292,,32224373,True,
293,Brookland,US,72417,Not Available,False,AR,303 Emma dr,293,,324752521,True,
294,Madera,US,93637,5712,False,CA,342 Helena Way,294,,22377219,True,
295,Swampscott,US,1907,6005,False,MA,40 Roy St,295,,203304776,True,
296,Union City,US,94587,1444,False,CA,33300 Mission Blvd,296,,15069336,True,
297,Santa Monica,US,90404,3928,False,CA,1838 22nd St,297,,154548436,True,
298,Chicago,US,60641,4229,False,IL,5111 W School St,298,,53779878,True,
299,Bronx,US,10452,7623,False,NY,108 E Clarke Pl Apt 47A,299,,,False,
300,Hyattsville,US,20782,3009,False,MD,6105 39th Pl,300,,49979905,True,
301,Harrisville,US,2830,1304,False,RI,169 Railroad Ave,301,,,False,
302,Charlotte,US,28217,Not Available,False,NC,1020 Comstock DR,302,,152456998,True,
303,Hawthorne,US,90250,8285,False,CA,13930 Chadron Ave,303,,,False,
304,Fort Worth,US,76107,3626,False,TX,5012 Byers Ave,304,,35688165,True,
305,Ocoee,US,34761,8932,False,FL,2520 Greywall Ave,305,,161177867,True,
306,Tucson,US,85714,3117,False,AZ,1519 E Calle Salamanca,306,,1905708,True,
307,Auburndale,US,33823,4804,False,FL,2583 Edmond Cir,307,,41052788,True,
308,Bronx,US,10454,1234,False,NY,380 E 143rd St,308,,,False,
309,Meriden,US,6450,6651,False,CT,269 Old Stagecoach Rd,309,,188662100,True,
310,Houston,US,77065,Not Available,False,TX,10818 Huffmeister Road,310,,165633530,True,
311,Mountain Top,US,18707,9048,False,PA,94 Valley Stream Park,311,,,False,
312,Jackson,US,36545,Not Available,False,AL,524 Commerce St,312,,233320848,True,
313,New York,US,10028,4632,False,NY,1646 1st Ave,313,,168183425,True,
314,Dunnellon,US,34432,4112,False,FL,19962 SW 96th Pl,314,,9588110,True,
315,North Las Vegas,US,89081,Not Available,False,NV,3836 Carisbrook Ave,315,,,False,
316,Cherry Valley,US,13320,Not Available,False,NY,281 County Highway 32A,316,,209276180,True,
317,Warren,US,2885,Not Available,False,RI,15 Hall Ave,317,,16800155,True,
318,San Dimas,US,91773,Not Available,False,CA,1002 Calle Frondosa,318,,142940149,True,
319,Okc,US,73170,Not Available,True,OK,4205 cunningham dr,319,,20255870,True,
320,Long Beach,US,90804,Not Available,False,CA,4223 East 10th Street,320,,154687560,True,
321,Mount Clemens,US,48043,2489,False,MI,715 Clinton River Dr,321,,,False,
322,St. Louis,US,63129,Not Available,False,MO,7507Abingdon Abingdon Way Court,322,,188342051,True,
323,Rock Hill,US,29732,1759,False,SC,1724 Hunters Trl,323,,,False,
324,Coatesville,US,19320,Not Available,False,PA,201 Andrew Road,324,,178259022,True,
325,Lusby,US,20657,4040,False,MD,1820 Rudolph Ln,325,,42128278,True,
326,Myrtle Beach,US,29588,Not Available,False,SC,455 Sunnehanna Drive #544,326,,,False,
